NEIGHBORHOOD_CLUSTER,CENSUS_TRACT,offensegroup,LONGITUDE,END_DATE,offense-text,SHIFT,YBLOCK,DISTRICT,WARD,YEAR,offensekey,BID,sector,PSA,ucr-rank,BLOCK_GROUP,VOTING_PRECINCT,XBLOCK,BLOCK,START_DATE,CCN,OFFENSE,OCTO_RECORD_ID,ANC,REPORT_DAT,METHOD,location,LATITUDE
cluster 8,010100,property,-77.0288552613857,2018-06-23T17:55:38.000,theft/other,evening,136959,2,2,2018,property|theft/other,downtown,2D3,209,6,010100 1,precinct 129,397497,1200 - 1299 block of new york avenue nw,2018-06-23T02:00:12.000,18102495,theft/other,18102495-01,2C,2018-06-23T21:55:10.000Z,others,"38.900487959084074,-77.028857553938437",38.9004801719282
cluster 8,010100,property,-77.0288552613857,,theft/other,evening,136959,2,2,2018,property|theft/other,downtown,2D3,209,6,010100 1,precinct 129,397497,1200 - 1299 block of new york avenue nw,2018-06-12T17:35:32.000,18095378,theft/other,18095378-01,2C,2018-06-12T22:14:56.000Z,others,"38.900487959084074,-77.028857553938437",38.9004801719282
cluster 8,005800,property,-77.0328084635281,2018-09-11T02:40:49.000,theft/other,midnight,136719,2,2,2018,property|theft/other,downtown,2D3,207,6,005800 1,precinct 129,397154,1400 - 1499 block of g street nw,2018-09-11T01:30:07.000,18152639,theft/other,18152639-01,2C,2018-09-11T07:26:48.000Z,others,"38.898324908784794,-77.032810757179632",38.8983171222125
cluster 8,010100,property,-77.0319680233991,,theft/other,evening,136991,2,2,2018,property|theft/other,downtown,2D3,209,6,010100 1,precinct 129,397227,800 - 899 block of 14th street nw,2018-05-25T18:13:08.000,18084413,theft/other,18084413-01,2C,2018-05-25T23:11:29.000Z,others,"38.900775416172223,-77.031970316938654",38.9007676290745
cluster 8,005800,property,-77.029626551764,2018-04-12T12:00:57.000,theft/other,evening,136664,2,2,2018,property|theft/other,downtown,2D3,209,6,005800 1,precinct 129,397430,600 - 699 block of 13th street nw,2018-04-12T08:00:49.000,18060795,theft/other,18060795-01,2C,2018-04-16T22:12:11.000Z,others,"38.897830299177315,-77.029628844394551",38.8978225125861
cluster 8,005800,property,-77.0275632562836,2018-04-16T13:09:00.000,theft/other,day,136718,2,2,2018,property|theft/other,downtown,2D3,209,6,005800 1,precinct 129,397609,1100 - 1199 block of g street nw,2018-04-16T11:37:28.000,18060644,theft/other,18060644-01,2C,2018-04-18T16:38:13.000Z,others,"38.898317255946942,-77.027565548301482",38.8983094691806
cluster 8,005800,property,-77.0296376230052,2018-07-18T17:40:16.000,theft/other,day,136542,2,2,2018,property|theft/other,downtown,2D3,209,6,005800 1,precinct 129,397429,500 - 599 block of 13th street nw,2018-07-18T14:45:44.000,18118173,theft/other,18118173-01,2C,2018-07-19T15:15:36.000Z,others,"38.896731275821011,-77.029639915572076",38.8967234894519
cluster 8,005800,property,-77.0288543832191,,theft/other,evening,136718,2,2,2018,property|theft/other,downtown,2D3,209,6,005800 1,precinct 129,397497,1200 - 1299 block of g street nw,2018-08-11T14:26:35.000,18133344,theft/other,18133344-01,2C,2018-08-11T20:02:03.000Z,others,"38.898316944129917,-77.028856675638977",38.8983091574118
cluster 8,005800,property,-77.0308021853212,2018-07-10T08:00:27.000,burglary,day,136611,2,2,2018,property|burglary,downtown,2D3,209,5,005800 1,precinct 129,397328,1300 - 1399 block of f street nw,2018-07-09T17:15:13.000,18112841,burglary,18112841-01,2C,2018-07-10T15:58:48.000Z,others,"38.897352551739573,-77.030804478288715",38.8973447652886
,006202,property,-77.0336497679838,2018-07-22T19:51:16.000,theft/other,evening,136664,2,2,2018,property|theft/other,,2D3,207,6,006202 1,precinct 2,397081,600 - 699 block of 15th street nw,2018-07-22T18:00:43.000,18120939,theft/other,18120939-01,2A,2018-07-23T01:17:55.000Z,others,"38.897829209428814,-77.033652061867045",38.8978214229879
cluster 8,005800,property,-77.0288665198976,2018-08-11T12:45:35.000,theft/other,day,136885,2,2,2018,property|theft/other,downtown,2D3,209,6,005800 1,precinct 129,397496,1200 - 1299 block of h street nw,2018-08-11T12:30:31.000,18133864,theft/other,18133864-01,2C,2018-08-12T18:17:24.000Z,others,"38.899821337625788,-77.028868812413165",38.8998135506047
cluster 8,005800,property,-77.0288543832191,2018-05-31T17:50:44.000,theft/other,evening,136718,2,2,2018,property|theft/other,downtown,2D3,209,6,005800 1,precinct 129,397497,1200 - 1299 block of g street nw,2018-05-31T17:00:38.000,18088038,theft/other,18088038-01,2C,2018-05-31T23:04:25.000Z,others,"38.898316944129917,-77.028856675638977",38.8983091574118
cluster 8,010100,violent,-77.0319680233991,2018-04-07T13:00:22.000,sex abuse,midnight,136991,2,2,2018,violent|sex abuse,downtown,2D3,209,2,010100 1,precinct 129,397227,800 - 899 block of 14th street nw,2018-04-07T03:00:54.000,18056020,sex abuse,18056020-01,2C,2018-04-09T03:09:47.000Z,others,"38.900775416172223,-77.031970316938654",38.9007676290745
,006202,property,-77.0336497679838,,theft f/auto,midnight,136664,2,2,2018,property|theft f/auto,,2D3,207,7,006202 1,precinct 2,397081,600 - 699 block of 15th street nw,2018-05-14T22:21:47.000,18077852,theft f/auto,18077852-01,2A,2018-05-15T03:59:21.000Z,others,"38.897829209428814,-77.033652061867045",38.8978214229879
cluster 8,005800,property,-77.029626551764,2018-05-05T12:00:27.000,theft/other,day,136664,2,2,2018,property|theft/other,downtown,2D3,209,6,005800 1,precinct 129,397430,600 - 699 block of 13th street nw,2018-05-05T11:42:56.000,18071969,theft/other,18071969-01,2C,2018-05-05T16:48:56.000Z,others,"38.897830299177315,-77.029628844394551",38.8978225125861
cluster 8,005800,property,-77.0307910736005,2018-05-11T16:30:05.000,theft/other,day,136718,2,2,2018,property|theft/other,downtown,2D3,209,6,005800 1,precinct 129,397329,1300 - 1399 block of g street nw,2018-05-11T16:21:07.000,18076428,theft/other,18076428-01,2C,2018-05-12T17:54:01.000Z,others,"38.898316449648604,-77.030793366623413",38.8983086630028
cluster 8,005800,property,-77.029626551764,2018-01-17T18:27:50.000,motor vehicle theft,evening,136664,2,2,2018,property|motor vehicle theft,downtown,2D3,209,8,005800 1,precinct 129,397430,600 - 699 block of 13th street nw,2018-01-16T14:00:12.000,18009159,motor vehicle theft,18009159-01,2C,2018-01-17T23:27:51.000Z,others,"38.897830299177315,-77.029628844394551",38.8978225125861
cluster 8,010100,property,-77.0336505541165,2018-01-07T21:32:26.000,theft/other,evening,136849,2,2,2018,property|theft/other,downtown,2D3,207,6,010100 1,precinct 17,397081,718 - 799 block of 15th street nw,2018-01-07T20:12:59.000,18003544,theft/other,18003544-01,2B,2018-01-08T03:17:56.000Z,others,"38.89949575636841,-77.033652848101724",38.8994879695915
cluster 8,005800,property,-77.0288543832191,2018-01-26T20:36:43.000,theft/other,evening,136718,2,2,2018,property|theft/other,downtown,2D3,209,6,005800 1,precinct 129,397497,1200 - 1299 block of g street nw,2018-01-26T20:03:16.000,18014663,theft/other,18014663-01,2C,2018-01-27T03:16:47.000Z,others,"38.898316944129917,-77.028856675638977",38.8983091574118
cluster 8,010100,violent,-77.0308039046424,2018-01-09T11:04:42.000,robbery,day,137053,2,2,2018,violent|robbery,downtown,2D3,209,4,010100 1,precinct 129,397328,1300 - 1399 block of i street nw,2018-01-09T11:00:37.000,18004288,robbery,18004288-01,2C,2018-01-09T17:36:57.000Z,others,"38.901334247229343,-77.030806197853636",38.9013264599755
cluster 8,010100,property,-77.0336505541165,2018-01-26T23:00:00.000,theft/other,day,136849,2,2,2018,property|theft/other,downtown,2D3,207,6,010100 1,precinct 17,397081,718 - 799 block of 15th street nw,2018-01-26T17:00:17.000,18016112,theft/other,18016112-01,2B,2018-01-29T16:31:39.000Z,others,"38.89949575636841,-77.033652848101724",38.8994879695915
cluster 8,010100,property,-77.0311031522281,2018-02-19T14:30:36.000,theft/other,day,136928,2,2,2018,property|theft/other,downtown,2D3,209,6,010100 1,precinct 129,397302,1306 - 1399 block of h street nw,2018-02-15T15:30:19.000,18028676,theft/other,18028676-01,2C,2018-02-20T18:24:46.000Z,others,"38.900208122985063,-77.03110544546368",38.9002003359694
cluster 8,005800,property,-77.0288543832191,,theft/other,evening,136718,2,2,2018,property|theft/other,downtown,2D3,209,6,005800 1,precinct 129,397497,1200 - 1299 block of g street nw,2018-03-16T19:42:25.000,18042850,theft/other,18042850-01,2C,2018-03-17T00:39:40.000Z,others,"38.898316944129917,-77.028856675638977",38.8983091574118
cluster 8,010100,property,-77.0288552613857,2018-03-17T10:37:50.000,theft/other,day,136959,2,2,2018,property|theft/other,downtown,2D3,209,6,010100 1,precinct 129,397497,1200 - 1299 block of new york avenue nw,2018-03-17T10:35:45.000,18043145,theft/other,18043145-01,2C,2018-03-17T16:42:59.000Z,others,"38.900487959084074,-77.028857553938437",38.9004801719282
cluster 8,005800,property,-77.029626551764,2018-01-15T18:31:19.000,theft/other,evening,136664,2,2,2018,property|theft/other,downtown,2D3,209,6,005800 1,precinct 129,397430,600 - 699 block of 13th street nw,2018-01-15T18:06:50.000,18008008,theft/other,18008008-01,2C,2018-01-16T00:04:28.000Z,others,"38.897830299177315,-77.029628844394551",38.8978225125861
cluster 8,005800,property,-77.0319777385228,2018-11-08T12:20:00.000,theft/other,evening,136542,2,2,2018,property|theft/other,downtown,2D3,209,6,005800 1,precinct 129,397226,500 - 599 block of 14th street nw,2018-10-21T16:50:26.000,18189866,theft/other,18189866-01,2C,2018-11-09T00:24:31.000Z,others,"38.896730658591935,-77.031980031818335",38.8967228723102
cluster 8,005800,property,-77.0307910736005,2018-09-28T11:35:34.000,theft/other,day,136718,2,2,2018,property|theft/other,downtown,2D3,209,6,005800 1,precinct 129,397329,1300 - 1399 block of g street nw,2018-09-28T11:34:37.000,18198188,theft/other,18198188-01,2C,2018-11-21T18:02:55.000Z,others,"38.898316449648604,-77.030793366623413",38.8983086630028
cluster 8,005800,property,-77.029626551764,2018-12-13T16:16:12.000,theft/other,day,136664,2,2,2018,property|theft/other,downtown,2D3,209,6,005800 1,precinct 129,397430,600 - 699 block of 13th street nw,2018-12-13T14:52:12.000,18211352,theft/other,18211352-01,2C,2018-12-14T12:30:43.000Z,others,"38.897830299177315,-77.029628844394551",38.8978225125861
cluster 8,005800,property,-77.0288543832191,,theft/other,evening,136718,2,2,2018,property|theft/other,downtown,2D3,209,6,005800 1,precinct 129,397497,1200 - 1299 block of g street nw,2018-12-23T16:10:28.000,18217632,theft/other,18217632-01,2C,2018-12-23T22:20:09.000Z,others,"38.898316944129917,-77.028856675638977",38.8983091574118
cluster 8,005800,property,-77.02809334899,2018-11-08T16:03:40.000,theft/other,evening,136664,2,2,2018,property|theft/other,downtown,2D3,209,6,005800 1,precinct 129,397563,600 - 699 block of 12th street nw,2018-11-08T15:57:17.000,18189996,theft/other,18189996-01,2C,2018-11-08T22:00:47.000Z,others,"38.897830678005782,-77.028095641143224",38.8978228913574
cluster 8,005800,property,-77.0319777385228,2018-11-26T14:49:24.000,theft/other,day,136542,2,2,2018,property|theft/other,downtown,2D3,209,6,005800 1,precinct 129,397226,500 - 599 block of 14th street nw,2018-11-21T12:03:07.000,18200790,theft/other,18200790-01,2C,2018-12-03T14:43:31.000Z,others,"38.896730658591935,-77.031980031818335",38.8967228723102
cluster 8,005800,property,-77.029626551764,2018-12-10T15:41:37.000,theft/other,evening,136664,2,2,2018,property|theft/other,downtown,2D3,209,6,005800 1,precinct 129,397430,600 - 699 block of 13th street nw,2018-12-10T13:56:50.000,18209433,theft/other,18209433-01,2C,2018-12-10T21:32:04.000Z,others,"38.897830299177315,-77.029628844394551",38.8978225125861
cluster 8,005800,property,-77.0307910736005,2018-12-29T00:34:33.000,theft f/auto,midnight,136718,2,2,2018,property|theft f/auto,downtown,2D3,209,7,005800 1,precinct 129,397329,1300 - 1399 block of g street nw,2018-12-29T00:08:57.000,18220378,theft f/auto,18220378-01,2C,2018-12-29T09:01:28.000Z,others,"38.898316449648604,-77.030793366623413",38.8983086630028
cluster 8,005800,property,-77.029626551764,2018-12-27T18:50:08.000,theft/other,evening,136664,2,2,2018,property|theft/other,downtown,2D3,209,6,005800 1,precinct 129,397430,600 - 699 block of 13th street nw,2018-12-27T18:47:26.000,18219696,theft/other,18219696-01,2C,2018-12-28T00:48:52.000Z,others,"38.897830299177315,-77.029628844394551",38.8978225125861
